UAV_ID,Timestamp,Latitude,Longitude,Altitude,Velocity,Yaw,Pitch,Roll,Wind_Speed,Temperature,Obstacle_Distance,Battery_Level,Camera_Feed_Active,LiDAR_Detection,Task_ID,Task_Type,Task_Completion_Time,Task_Success,Coverage_Efficiency,Communication_Signal_Strength
1102,2025-01-01 00:00:00,30.452186701061894,-88.04222014316454,350.6370044372841,44.10189684983882,198.19140501464122,-35.44075551703894,0.5087421184815639,12.18935526733244,5.965844001068701,62.377219065085285,71.75573666698443,1,0,1,Tracking,577.8638268527947,1,40.74591470711415,-66.72633875011755
1435,2025-01-01 00:01:00,30.26366974497252,-89.92437125021858,470.5530426920347,47.51860925735577,146.65158871661964,24.828952902272377,-16.0258896810311,16.411528786676996,2.6101201079665444,18.90172827464972,59.53005929130165,1,0,2,Tracking,404.91919839618845,0,40.0,-69.56287332858051
1860,2025-01-01 00:02:00,33.7646336687805,-83.52525285845397,107.64643777190561,13.404139444791415,187.69572773054682,27.716159529811705,20.7197985413236,5.704886846135331,37.79593999810221,46.943486215404384,69.62230536806743,1,0,3,Object Detection,517.4053361900997,1,68.85038712214038,-32.78669201722246
1270,2025-01-01 00:03:00,38.10553330781833,-81.01969451050013,290.73738732712684,25.423903700533334,322.76687704884364,24.098815594290386,13.62976858440831,4.784221760684375,36.16497541349647,72.032291647856,63.53600016909023,0,0,4,Tracking,351.63548625345277,1,64.0732046452736,-79.03477916410667
1106,2025-01-01 00:04:00,39.872761293149445,-87.56517703423701,375.08881697222427,12.841395561760084,70.66594883198414,-34.7430701592683,28.845670463331096,15.739515987624017,12.865830494641017,52.94357405412765,79.18370975488793,0,1,5,Surveillance,283.7094976985366,0,50.01864121936072,-31.73056481682852
1071,2025-01-01 00:05:00,31.504168911035283,-80.72965455203693,389.0827830792914,18.431724062001145,8.123224213925004,12.951716136098824,-20.658444134644025,1.1276370770646316,32.30969330771867,39.54890761835702,76.4749294169296,0,0,6,Recon,587.6787695612978,1,76.17635675656312,-72.53690515055969
1700,2025-01-01 00:06:00,35.94130715352135,-89.3973260971044,377.0129726148432,19.174631081506895,310.1993584916763,30.089231617445876,-16.460125016876695,7.387652951651702,12.6161738817148,32.233845808094365,62.73519134468954,1,0,7,Object Detection,374.3455402427115,1,61.9108976904121,-39.02809591033659
1020,2025-01-01 00:07:00,33.808908566310215,-80.65563973194486,153.77405176324874,28.764288441903147,207.76214965964633,6.9618061097700945,-17.29211100710984,10.116184451846594,11.219450903625521,61.039386664405356,74.31224166877655,0,0,8,Surveillance,528.1117347115567,1,52.816711042232896,-66.20387234659485
1614,2025-01-01 00:08:00,39.69914397814603,-86.48377312760365,219.75823534867249,20.742486698145704,320.63704396626326,13.176663770528009,17.552386057280202,11.206973487006469,-2.1618526200352672,93.91086983102406,89.88476818180902,0,1,9,Tracking,574.7778940377966,1,56.20328649509511,-62.46488362846363
1121,2025-01-01 00:09:00,38.42118923135709,-88.98579171550783,243.4862101668054,14.039124272710444,214.90028042874212,-3.7472868516324453,-18.78556221299291,14.572303135855538,11.320302824598642,67.17448404774834,54.581703023053485,0,1,10,Tracking,424.69149858467597,1,49.29400189423905,-69.16211443390075
1466,2025-01-01 00:10:00,38.38328704711138,-85.14128240813675,421.774883071802,16.699643563764308,291.6579923854929,2.583658789564737,-26.000410210601636,7.096914468613164,16.87084692999035,7.474590363631551,53.02104581990349,0,1,11,Recon,356.42688640008447,0,62.758453862881865,-50.72429787594602
1214,2025-01-01 00:11:00,34.6869315979497,-87.43223432279493,211.50394896582122,15.891022542083636,154.68241080785327,-41.90608274834473,29.91364839513772,12.253686893492144,-8.874783628565677,46.06849734821338,81.1396496681904,1,1,12,Surveillance,61.89585949175134,1,55.66107990879293,-62.59522262460629
1330,2025-01-01 00:12:00,34.14819502337665,-87.15127098038077,184.28198554688126,48.923071916491935,269.94957526377675,12.506671977595616,-28.51096731329105,11.707508455819127,12.20565025877032,89.08241315106275,66.60430696335952,1,1,13,Object Detection,81.61060599906324,1,40.0,-47.13034802526684
1458,2025-01-01 00:13:00,32.73407071930706,-86.92710035073713,482.97920761523847,40.37170027673895,328.6949280803482,-37.669750839795675,20.11464360953194,10.952322013074943,29.067810919760014,9.446242580108688,25.680542417807082,0,0,14,Surveillance,168.45965666760281,0,40.477560077261344,-79.2176341028967
1087,2025-01-01 00:14:00,30.563754966509272,-81.96974102167337,103.54531404538756,48.71045861078248,205.96426693999427,-5.848686509379895,-8.077989506960833,12.809665862844245,24.002302818713495,98.88757121375433,91.36896125528651,0,1,15,Tracking,160.44455320223744,1,40.0,-76.78125582424802
1372,2025-01-01 00:15:00,38.64722376255053,-84.60838723324746,499.12834227279126,27.589619460316342,65.08265420245664,-18.661041209933295,20.496927585468917,5.188983421361526,21.75784944319675,94.90693936454213,22.46264817901121,1,1,16,Object Detection,197.56974940791648,0,58.0734882450199,-75.01694236343756
1099,2025-01-01 00:16:00,38.12901009130078,-86.88692300843996,370.7285195429582,21.134739266506266,96.76714141087135,4.088515519054177,3.277229472668701,1.6929750716925795,35.477771421860126,7.827448072987586,79.87170849677945,1,0,17,Tracking,224.66470435673685,0,74.03385107303966,-59.05031573448845
1871,2025-01-01 00:17:00,39.997176732861305,-83.89666216689082,431.38771977964683,41.93172788836747,71.51204768306609,-32.99252980291136,24.097873769181604,2.3854334407948685,-9.098399508738499,93.3413320449555,80.70353141634503,0,0,18,Tracking,254.43536651739325,1,62.33362231586102,-39.2601913670012
1663,2025-01-01 00:18:00,39.966368370739055,-82.83849325776806,217.84775853847725,23.05015672164587,88.86852993446385,17.247906177598637,25.5715791848776,4.491647653078021,17.852379309611706,36.31325902594622,96.24888682255444,1,0,19,Surveillance,287.0903526371933,1,69.11651501527648,-35.59110448108087
1130,2025-01-01 00:19:00,35.55431705602628,-87.27375999266467,105.72611106682399,21.97533494821393,110.3095617663731,26.551038323562338,-29.45410912315344,10.003958710455706,29.367442420485354,84.47091670758626,24.33075267218566,1,1,20,Recon,113.38782276624792,0,51.43749037220019,-67.75946299695497
1661,2025-01-01 00:20:00,37.68987415180511,-85.86450898474648,395.14780742461204,19.300239688313248,199.84816323114785,-30.298099523115916,-25.475269440432704,16.808855010920404,17.06676913506336,41.83833377132715,67.74854886275928,0,0,21,Tracking,82.8754432545023,0,43.507025020278505,-51.281513788049295
1308,2025-01-01 00:21:00,39.44765729882428,-88.78113906663053,433.6578388002703,15.187159128969414,211.6769866069798,-35.61182213833061,-14.978476225748672,14.025866841767682,6.194777629018958,44.08551127025159,54.227245650164235,1,1,22,Surveillance,423.93000249943265,1,49.77741131699635,-41.58175036536998
1769,2025-01-01 00:22:00,38.49647390677411,-88.18850650465319,396.19045278140766,20.25852244067064,153.53990900707,-31.903606549137677,10.158924981810102,15.780812084040942,-3.1874717454011066,63.42430909775426,46.450636388763364,1,0,23,Object Detection,350.16080541526196,0,42.95417825045913,-65.55852850401956
1343,2025-01-01 00:23:00,32.47348101743198,-83.18882146035017,157.14011492033544,24.21278993895551,221.55148073550075,33.94148057086515,23.29633179069036,7.019512478521827,34.37815359080957,77.44774192759833,27.225484823925843,1,1,24,Recon,299.8378691988646,0,56.577128555871184,-59.549613163186336
1491,2025-01-01 00:24:00,34.505441353100935,-88.18561652304373,401.37116890278764,36.95976832582922,29.366973220091733,2.5370335580720536,-2.403482922362233,8.093074832971004,13.538119619380147,3.3789150948248636,65.01232957370473,1,1,25,Tracking,402.59756823091027,0,51.83519912851385,-53.8012898657143
1413,2025-01-01 00:25:00,31.29159415151495,-84.7483661633294,407.5691128430564,12.502593688778063,31.60376534093759,-2.946510359324769,6.418386976455928,7.8736377198122565,33.90575984928507,59.31559955271343,58.32325805396909,0,1,26,Tracking,506.9468798899119,1,63.83375352138336,-73.25625767959761
1805,2025-01-01 00:26:00,39.54051027258723,-82.90953738277567,363.41620626802194,18.420277586613718,61.85860572875704,-35.39593628078811,-18.69000883226633,3.8374636880900304,19.292606121658416,18.673299409737098,28.36435665208194,1,1,27,Object Detection,290.95417092275045,0,65.95136949572128,-78.70088531371098
1385,2025-01-01 00:27:00,36.0617463445088,-88.93123076905256,406.4463731182345,42.360945611667056,186.50789929452412,13.460040608126562,18.298010032901118,1.2243331628714405,23.709605830750036,34.594951786320294,68.99916056776667,1,0,28,Surveillance,406.2045111280689,1,63.27077692520025,-72.35970953408584
1191,2025-01-01 00:28:00,32.28642805503463,-84.32687780371097,438.36857587109284,15.87687694335083,77.03808433139288,33.11996327055809,28.03968668120818,11.818321856544536,30.2130577189225,34.79686661552165,79.03624962023508,0,0,29,Tracking,574.9290008709858,1,56.32854277725903,-48.65731893732333
1955,2025-01-01 00:29:00,36.71700684405857,-87.43437216298636,345.4416456949834,23.70580586090086,101.98238525732783,29.536728239110772,-13.884064025124154,19.784333668411723,22.95777723000672,46.906034022115364,81.38226408429186,1,1,30,Object Detection,513.3972277652429,0,40.0,-76.31908692331592
1276,2025-01-01 00:30:00,36.18128240457896,-80.3707312476242,135.44188558787164,44.5863568743256,144.11262102227786,11.344923808272114,-0.3104429039672212,3.3365940990052567,9.902742033946886,33.41364118761734,92.42985506099419,0,0,31,Tracking,290.0404376713011,1,60.27661887092611,-70.51518175749358
1160,2025-01-01 00:31:00,33.581627180328404,-85.16454353280075,295.0511238668844,16.197012445737705,292.27180464373674,-38.22491550134937,-24.833033369617574,0.9336963979854751,15.681669196432548,10.736111845066777,52.75765935110218,0,1,32,Surveillance,408.1470924199612,1,75.30986691627041,-63.107305715234816
1459,2025-01-01 00:32:00,31.135575921996292,-81.94007450224842,131.059733868642,13.309473424727596,4.990368928629643,-34.88426755415883,3.548199387778105,15.590633636478659,30.15227623379399,14.562873852545144,96.24582148977096,1,0,33,Recon,155.61829783460746,0,51.788578163655984,-76.10649678468168
1313,2025-01-01 00:33:00,36.71573195592799,-84.49773457843739,263.0172124129723,29.381519803200433,233.77637528518406,-40.56219116011578,0.16700651080083162,5.051720133694484,8.68251481864921,3.343798556109767,89.23435240661489,1,0,34,Surveillance,362.68197984334853,0,64.1292350716723,-70.41503644191828
1021,2025-01-01 00:34:00,35.20307700903793,-89.56587467145181,262.84259565025104,22.096780451141456,240.79555117464673,-21.82687051567776,-21.333810950695344,16.59287610705857,9.406072838424855,47.02490853287543,43.72012568191512,1,1,35,Surveillance,589.9172772147591,0,40.13787012850364,-34.436510550824444
1252,2025-01-01 00:35:00,37.723183917356394,-83.66848624405978,126.40393765609663,32.53633457935416,287.51608092838916,-32.790467955566,-3.476027212915497,14.078733340690308,-5.215494197099942,95.44476948529885,32.74264298795668,1,1,36,Surveillance,339.890162209362,1,40.0,-79.03504338865076
1747,2025-01-01 00:36:00,35.20163501111993,-80.48596657793343,239.52821358779173,42.152195619339004,335.79105806171276,-21.59567637728095,-9.953720874806205,18.91347074101609,35.72922176108739,11.567522364811655,54.83115169024107,1,0,37,Object Detection,560.9246815626796,0,40.0,-47.32840379128189
1856,2025-01-01 00:37:00,38.5218150031854,-83.98388179853669,144.39923951652594,15.485939526109727,7.249625621744338,-10.344774985293448,1.3098525183113594,8.178544715133441,-5.448184252727914,94.6264493003082,52.15189663647733,0,1,38,Tracking,279.96085707176076,1,61.115130470325994,-60.779553454240755
1560,2025-01-01 00:38:00,35.51906838774485,-81.80811140573209,423.29408400368885,33.227963382171396,55.362133984757826,39.86845056640222,5.139260125727951,13.239396789012684,22.410458872427796,73.33615147320936,66.05754442649635,1,0,39,Recon,599.3762066797009,1,43.512979173538575,-46.36756302838144
1474,2025-01-01 00:39:00,35.60937971535386,-81.15793536651591,479.0752103857883,30.220350415594556,319.0216658601575,9.933845380352288,-29.490265283567428,9.297095616265414,10.659723940139884,63.74988029341632,66.67089858621983,0,0,40,Object Detection,372.77881902288124,1,52.96272341829386,-50.56541398182977
1058,2025-01-01 00:40:00,38.76653602658345,-87.71920228051067,128.92659010317544,15.763151440527983,165.06668238732553,30.147640711466607,15.66035897697332,12.61177394617087,10.280969512772117,64.52777553235629,79.99895875039802,1,0,41,Surveillance,82.82525688740466,1,54.89477226243406,-68.8250622822678
1510,2025-01-01 00:41:00,34.03482866212397,-87.87955160091774,482.0460829166806,34.9599394211593,203.25263001604685,18.931635064109898,12.780857511704447,8.991978120154746,23.977591828634196,82.67276483962821,60.791195856448816,0,1,42,Recon,376.8475902133496,1,50.61519363475573,-37.63952562133057
1681,2025-01-01 00:42:00,31.340152284506406,-83.89019011149009,309.03063973469807,20.945616714430866,238.68979334033307,-34.874718252603145,-8.022816827608668,3.7726449284814967,-6.645313368506064,10.691986437982138,28.385811275261243,1,1,43,Surveillance,208.2692556669822,0,64.8204829133477,-55.402980869532165
1475,2025-01-01 00:43:00,30.28782676313339,-85.88971530193295,219.82627118154954,29.5133727417605,244.46397761842945,21.23283657365539,-26.823843865870906,10.157948320067618,19.68528914757173,50.47543235655417,88.6633068442485,1,0,44,Surveillance,77.53991389938315,1,53.79374767340937,-38.87319905432641
1699,2025-01-01 00:44:00,37.55137255673619,-81.6013869713328,130.74483011046541,13.290892971082474,335.42654519394296,-20.2411006596788,15.295952387103021,10.571684028748846,28.60158929861774,69.70911382607585,44.78116665481497,1,1,45,Surveillance,503.2607845351182,1,56.689302122442555,-59.69937319058904
1975,2025-01-01 00:45:00,36.20309551353465,-80.99976876601988,300.24970722816715,28.383362288544923,358.90179026820107,12.519706229523571,27.310509628687946,16.21207696520322,31.41063789432971,58.682044507356366,97.70379682452736,1,1,46,Recon,208.8940039696082,0,43.154544607773836,-30.765722304238047
1782,2025-01-01 00:46:00,37.040797680992235,-86.46578620697282,417.80621779629945,22.258538721712814,259.2566859351385,-14.313422372131033,-15.590904238679148,14.710414115871624,-1.4734805303112353,83.27790710232946,29.428808694381612,1,0,47,Tracking,490.1362191851092,0,42.3927832768385,-41.47553207493519
1189,2025-01-01 00:47:00,32.129641615089106,-87.63129441025518,382.83459090667924,42.895248447414176,103.39963531385429,44.79050369381933,-10.588523175777727,13.275832478828882,34.87095250390868,7.22717090113515,96.66009377860026,0,1,48,Surveillance,215.63749479616817,0,41.66672019649518,-31.702489744371327
1957,2025-01-01 00:48:00,31.363714755867697,-82.19474484756138,120.09040458558951,12.279149079894731,316.7108648259637,-21.280366845289997,-18.971226631091103,2.2677419110514507,22.807304592372112,69.0701039499166,27.280944550601358,1,1,49,Tracking,164.93623109183812,0,72.05303609300987,-54.283676054507055
